global_time,crystal,edep,x,y,z,slice_sect,time
 6437709905.29156,33,496.256,-144.038,-145.583,-129.884,03,41143185.809
 6437709905.29156,33,146.847,-144.000,-145.872,-130.049,03,41143185.810
 6437709905.29156,33,305.588,-141.959,-149.277,-138.389,03,41143185.841
 6437709905.29156,33,61.569,-149.151,-143.724,-139.788,14,41143185.872
 6437709905.29156,33,161.740,-149.380,-143.930,-140.001,14,41143185.873
 6478853090.29194,8,688.084,-147.320,8.656,-239.521,32,165402010.555
 6478853090.29194,8,100.314,-144.833,11.655,-229.991,22,165402010.590
 6478853090.29194,8,38.581,-145.905,8.525,-231.601,22,165402010.602
 6478853090.29194,8,91.858,-145.839,10.167,-232.452,22,165402010.608
 6644255099.89719,15,136.514,219.264,57.480,-129.751,22,110046916.663
 6644255099.89719,15,142.965,223.659,58.415,-134.471,22,110046916.685
 6644255099.89719,15,269.984,235.484,62.151,-160.881,32,110046916.782
 6644255099.89719,15,70.727,245.653,76.787,-175.483,52,110046916.859
 6783087054.97130,6,360.084,-71.797,6.500,-226.755,01,66309067.609
 6783087054.97130,8,683.598,-137.835,2.553,-285.403,50,66309067.904
 6783087054.97130,8,94.012,-130.126,-19.408,-283.732,50,66309067.981
 6783087054.97130,8,58.134,-130.276,-19.966,-277.453,40,66309068.002
 6783087054.97130,8,28.907,-130.501,-19.833,-277.423,40,66309068.003
 6783087054.97130,8,108.265,-127.945,-16.200,-278.161,40,66309068.018
 6849396121.78554,29,775.211,-161.582,13.525,-187.699,02,13485686.752
 6849396121.78554,29,78.721,-163.680,13.517,-187.237,12,13485686.759
 6849396121.78554,29,150.892,-167.499,16.346,-185.882,12,13485686.776
 6849396121.78554,29,176.723,-175.916,19.490,-169.912,05,13485686.837
 6849396121.78554,29,32.098,-177.372,9.274,-179.634,13,13485686.884
 6849396121.78554,29,119.355,-166.760,8.464,-181.940,02,13485686.920
 8071183294.11668,14,1065.718,103.728,-65.425,-220.677,11,171410181.310
 8071183294.11668,14,123.972,78.831,-68.658,-216.189,05,171410181.395
 8071183294.11668,14,45.154,80.027,-68.226,-214.983,00,171410181.401
 8071183294.11668,14,98.156,80.527,-64.160,-228.252,10,171410181.447
 8438456402.40547,36,932.654,64.501,-212.389,-152.485,23,66122587.819
 8438456402.40547,36,63.837,61.838,-204.855,-165.552,23,66122587.870
 8438456402.40547,36,66.703,61.803,-204.408,-165.683,23,66122587.872
 8438456402.40547,36,72.085,63.279,-202.849,-165.736,23,66122587.879
 8504578989.32640,29,922.003,-192.375,16.748,-164.526,14,88539257.048
 8504578989.32640,29,58.165,-186.153,19.413,-164.613,04,88539257.071
 8504578989.32640,29,70.848,-183.389,30.278,-178.531,10,88539257.130
 8504578989.32640,29,120.985,-189.930,22.448,-177.802,15,88539257.164
 8668513886.95118,37,1067.884,-26.142,-196.641,-138.875,04,60242876.622
 8668513886.95118,37,265.116,-30.440,-193.309,-137.488,04,60242876.641
 8758414111.78795,41,678.814,149.596,-120.287,-148.036,04,123144436.201
 8881558547.17956,14,792.856,107.993,-68.978,-220.933,11,82758624.207
 8881558547.17956,14,203.686,104.671,-74.566,-221.420,11,82758624.228
 8881558547.17956,14,1.496,111.282,-72.354,-215.985,12,82758624.258
 8881558547.17956,44,15.550,131.501,-60.220,-205.535,13,82758624.344
 8881558547.17956,44,37.023,144.371,-55.221,-208.225,13,82758624.391
 8881558547.17956,44,121.389,145.605,-57.784,-209.044,23,82758624.401
 8994936209.01074,42,267.460,193.484,-13.462,-157.584,02,1745819.052
 8996682027.22899,10,194.690,4.970,-117.765,-217.986,15,20967607.458
 8996682027.22899,38,25.820,20.144,-163.997,-230.877,34,20967607.626
 8996682027.22899,38,362.892,21.866,-168.145,-230.560,34,20967607.641
 8996682027.22899,38,5.138,20.604,-163.395,-229.301,34,20967607.658
 8996682027.22899,38,127.456,20.597,-160.730,-227.004,34,20967607.670
 9588214242.45725,12,563.138,66.479,-65.380,-278.400,41,48211770.793
 9849048240.21970,15,590.387,264.466,74.246,-166.665,52,252245958.224
 10101294197.37214,9,832.726,-10.607,-71.382,-234.129,00,75572827.310
 10101294197.37214,9,52.106,-7.505,-68.431,-237.143,05,75572827.327
 10101294197.37214,9,41.231,-4.329,-67.488,-238.424,05,75572827.339
 10101294197.37214,10,255.549,10.141,-75.573,-247.027,11,75572827.407
 10263128971.25533,34,805.815,-114.194,-108.543,-253.433,44,10924545.093
 10263128971.25533,34,159.754,-115.968,-107.968,-252.919,44,10924545.100
 10263128971.25533,34,206.431,-116.820,-126.518,-253.158,44,10924545.162
 10274053515.35318,38,192.048,-19.418,-156.339,-201.274,12,57792882.008
 10274053515.35318,38,486.069,-25.599,-162.106,-212.835,22,57792882.055
 10274053515.35318,38,185.770,-8.116,-199.217,-225.366,41,57792882.198
 10274053515.35318,38,63.314,-5.859,-202.088,-220.726,40,57792882.218
 10274053515.35318,38,244.798,-10.504,-198.004,-188.344,20,57792882.329
 10419927182.64340,36,884.388,73.681,-205.635,-155.621,23,112440280.275
 10419927182.64340,36,86.646,74.030,-206.112,-155.090,23,112440280.278
 10419927182.64340,36,45.616,73.675,-208.620,-153.890,23,112440280.287
 10532367462.02421,18,258.168,87.888,200.813,-167.904,23,15317360.955
 10927932099.88451,16,90.965,162.238,51.776,-185.468,10,46913083.609
 10927932099.88451,16,620.288,185.463,52.012,-225.069,40,46913083.762
 10927932099.88451,16,207.983,205.698,45.009,-219.899,40,46913083.836
 10927932099.88451,16,23.404,212.544,57.793,-222.911,50,46913083.885
 10927932099.88451,16,7.795,212.570,58.169,-223.288,50,46913083.887
