cr,slice,sect,x,y,z,vol
6,5,2,-65.27025,42.67648,-307.59305,14325.00000
6,5,3,-48.82231,24.05649,-312.53667,12919.00000
6,5,4,-55.07110,0.52197,-312.58059,13009.00000
6,5,5,-79.12346,-7.38852,-307.54401,14851.00000
7,0,0,-93.07455,-14.14314,-223.38731,6313.00000
7,0,1,-79.50645,-27.60431,-227.22347,6554.00000
7,0,2,-81.41762,-46.67207,-223.28539,6243.00000
7,0,3,-96.13810,-52.03558,-215.90278,6268.00000
7,0,4,-110.50793,-39.57074,-211.55180,6951.00000
7,0,5,-108.44754,-19.79985,-215.69277,6795.00000
7,1,0,-97.07578,-12.08484,-234.14959,6521.00000
7,1,1,-80.82467,-28.12506,-238.77204,6701.00000
7,1,2,-83.07258,-50.90403,-234.07381,6457.00000
7,1,3,-100.77026,-57.33385,-225.20075,6441.00000
7,1,4,-117.99423,-42.39903,-219.98692,7124.00000
7,1,5,-115.54915,-18.76923,-224.94225,6940.00000
7,2,0,-102.35659,-13.61590,-246.52352,9814.00000
7,2,1,-85.76185,-29.98200,-251.24277,10131.00000
7,2,2,-88.02247,-53.20823,-246.44478,9690.00000
7,2,3,-106.14064,-59.74572,-237.38961,9703.00000
7,2,4,-123.79456,-44.50722,-232.03056,10718.00000
7,2,5,-121.27260,-20.34628,-237.07942,10440.00000
7,3,0,-108.57334,-14.40005,-261.51650,12575.00000
7,3,1,-90.61043,-31.84069,-266.63309,13132.00000
7,3,2,-93.31766,-56.52894,-261.41684,12240.00000
7,3,3,-112.64200,-63.75161,-251.69728,12445.00000
7,3,4,-131.61617,-47.39296,-245.94882,13692.00000
7,3,5,-128.80737,-21.68054,-251.36539,13177.00000
7,4,0,-115.08964,-16.24524,-277.30308,13444.00000
7,4,1,-96.36137,-34.03430,-282.72613,14582.00000
7,4,2,-99.49829,-59.16059,-277.27189,12830.00000
7,4,3,-119.80006,-66.92788,-267.01436,13282.00000
7,4,4,-139.30577,-50.19674,-261.10370,14896.00000
7,4,5,-136.32604,-23.97007,-266.66405,13924.00000
7,5,0,-121.65238,-18.60897,-292.96432,13588.00000
7,5,1,-102.69534,-36.36213,-298.44268,15226.00000
7,5,2,-106.04288,-61.54701,-292.93604,12867.00000
7,5,3,-126.92759,-69.63063,-282.36166,13492.00000
7,5,4,-146.54109,-52.78440,-276.39468,15370.00000
7,5,5,-143.52362,-26.57329,-281.99635,14057.00000
8,0,0,-101.34859,16.49497,-219.59643,6312.00000
8,0,1,-116.91889,11.65044,-211.86520,6431.00000
8,0,2,-128.21219,25.11109,-203.67256,6425.00000
8,0,3,-122.85957,43.14035,-203.87075,6418.00000
8,0,4,-106.45885,48.37177,-212.02893,6447.00000
8,0,5,-96.10201,35.07147,-219.63238,6304.00000
8,1,0,-104.47508,15.27648,-230.77011,6498.00000
8,1,1,-123.09422,9.39844,-221.52902,6582.00000
8,1,2,-136.57701,25.53027,-211.73909,6607.00000
8,1,3,-130.15427,47.15644,-211.97944,6575.00000
8,1,4,-110.48948,53.48220,-221.73800,6611.00000
8,1,5,-98.18194,37.51022,-230.83255,6553.00000
8,2,0,-110.54415,16.69313,-242.78581,9830.00000
8,2,1,-129.63823,10.67184,-233.30898,9913.00000
8,2,2,-143.37317,27.11930,-223.33904,9904.00000
8,2,3,-136.79652,49.25877,-223.58906,9904.00000
8,2,4,-116.66532,55.71646,-233.55169,9948.00000
8,2,5,-104.12067,39.44451,-242.85576,9820.00000
8,3,0,-117.17466,17.62865,-257.56981,12624.00000
8,3,1,-137.70609,11.13787,-247.37954,12691.00000
8,3,2,-152.47924,28.75392,-236.68677,12778.00000
8,3,3,-145.39791,52.59645,-236.94739,12757.00000
8,3,4,-123.73896,59.34095,-247.70036,12667.00000
8,3,5,-110.20739,42.06150,-257.68854,12698.00000
8,4,0,-124.68596,19.38944,-272.94507,13637.00000
8,4,1,-146.17886,12.60333,-262.26637,13632.00000
8,4,2,-161.52127,30.60853,-251.22647,13999.00000
8,4,3,-154.13464,55.67725,-251.45109,14094.00000
8,4,4,-131.65606,62.35228,-262.68077,13520.00000
8,4,5,-117.36477,44.53313,-273.13316,13875.00000
8,5,0,-132.44196,21.66659,-288.05409,13851.00000
8,5,1,-154.57660,14.67272,-277.06564,13774.00000
8,5,2,-170.05541,32.57890,-265.93054,14555.00000
8,5,3,-162.45728,58.29432,-266.17428,14685.00000
8,5,4,-139.83228,64.86644,-277.51642,13628.00000
8,5,5,-125.11892,46.59715,-288.27360,14181.00000
9,0,0,-31.09367,-68.24974,-230.51980,6485.00000
9,0,1,-47.15662,-57.38302,-230.59295,6593.00000
9,0,2,-45.20056,-38.47666,-234.58814,6427.00000
9,0,3,-28.72592,-31.40390,-238.15550,5882.00000
9,0,4,-14.46829,-40.38027,-238.20843,6079.00000
9,0,5,-14.45581,-59.22746,-234.46868,6508.00000
9,1,0,-32.62865,-74.00425,-240.52490,6676.00000
9,1,1,-51.88319,-60.97152,-240.60850,6775.00000
9,1,2,-49.51445,-38.35037,-245.40945,6624.00000
9,1,3,-29.76095,-29.87147,-249.66586,6022.00000
9,1,4,-12.64844,-40.63081,-249.75160,6217.00000
9,1,5,-12.69773,-63.16665,-245.26980,6740.00000
9,2,0,-34.33587,-77.13000,-253.58650,10082.00000
9,2,1,-54.04577,-63.84376,-253.65969,10198.00000
9,2,2,-51.66173,-40.75787,-258.55019,9947.00000
9,2,3,-31.44635,-32.08955,-262.90457,9054.00000
9,2,4,-13.90201,-43.06935,-263.01057,9362.00000
9,2,5,-13.94821,-66.07039,-258.43780,10142.00000
9,3,0,-36.42599,-81.98436,-268.95100,13026.00000
9,3,1,-57.62299,-67.67560,-269.02792,13123.00000
9,3,2,-55.09227,-42.91568,-274.26936,12760.00000
9,3,3,-33.30500,-33.54346,-278.97101,11656.00000
9,3,4,-14.47007,-45.48250,-279.05162,11964.00000
9,3,5,-14.48100,-70.07855,-274.16311,13076.00000
9,4,0,-38.62118,-86.37534,-285.44439,14312.00000
9,4,1,-60.72714,-71.45194,-285.53399,14344.00000
9,4,2,-58.15985,-45.71835,-290.97116,13895.00000
9,4,3,-35.56609,-35.97957,-295.83182,12676.00000
9,4,4,-15.77734,-48.68792,-295.89696,12813.00000
9,4,5,-15.68924,-73.96744,-290.89017,14329.00000
9,5,0,-40.83142,-90.12034,-301.99243,14802.00000
9,5,1,-63.30502,-74.95953,-302.08532,14824.00000
9,5,2,-60.75737,-48.88794,-307.59305,14325.00000
9,5,3,-37.96602,-38.99892,-312.53667,12919.00000
9,5,4,-17.51434,-52.21443,-312.58059,13009.00000
9,5,5,-17.42361,-77.53406,-307.54401,14851.00000
10,0,0,-15.31070,-92.88963,-223.38731,6313.00000
10,0,1,1.68441,-84.14534,-227.22347,6554.00000
10,0,2,19.22833,-91.85523,-223.28539,6243.00000
10,0,3,19.78045,-107.51265,-215.90278,6268.00000
10,0,4,3.48517,-117.32732,-211.55180,6951.00000
10,0,5,-14.68137,-109.25823,-215.69277,6795.00000
10,1,0,-18.50471,-96.05898,-234.14959,6521.00000
10,1,1,1.77231,-85.55996,-238.77204,6701.00000
