crystal,edep,x,y,z,slice_sect,time
14,423.230,90.874,-63.451,-259.222,30,92947716.632
14,314.070,106.715,-83.129,-271.990,40,92947716.726
44,162.151,167.339,-81.289,-264.633,53,92947716.930
32,386.303,-135.779,-71.312,-189.290,05,30227690.573
32,91.894,-150.419,-69.063,-195.374,15,30227690.626
32,311.306,-176.409,-72.595,-220.158,35,30227690.746
32,213.527,-181.825,-94.948,-227.295,45,30227690.827
32,168.971,-181.780,-89.373,-215.402,45,30227690.870
31,870.427,-178.537,-40.171,-151.872,00,7752700.958
31,202.501,-192.586,-28.428,-147.502,04,7752701.021
31,64.117,-195.968,-32.789,-142.057,04,7752701.047
31,31.764,-218.810,-51.506,-157.144,21,7752701.157
31,164.190,-217.445,-55.428,-163.127,30,7752701.182
30,663.074,-164.183,-79.952,-156.497,00,7752700.967
32,323.978,-160.211,-67.441,-193.890,25,7752701.099
32,184.948,-159.134,-67.565,-192.263,15,7752701.105
27,765.829,-188.757,86.572,-118.176,03,67286486.176
27,339.976,-186.757,89.855,-130.331,03,67286486.218
27,25.552,-188.871,88.445,-130.057,03,67286486.227
27,73.164,-197.162,90.399,-125.961,13,67286486.258
25,931.144,-143.496,204.385,-185.321,51,84113746.323
25,240.856,-144.557,198.907,-183.945,41,84113746.342
0,699.443,68.323,14.923,-239.629,12,49484259.249
13,204.842,94.442,17.690,-241.246,22,49484259.336
13,128.093,95.161,18.479,-246.448,22,49484259.354
13,139.622,93.535,16.057,-243.622,22,49484259.368
2,1076.064,96.820,79.300,-226.252,11,106597917.596
2,26.576,98.379,47.780,-211.520,05,106597917.712
32,960.655,-153.689,-51.305,-213.028,23,2194401.138
32,211.345,-144.653,-51.590,-202.400,14,2194401.184
7,846.234,-105.250,-49.870,-205.746,04,31150255.697
7,192.117,-101.101,-47.287,-211.445,05,31150255.723
7,19.661,-98.608,-49.235,-211.660,04,31150255.733
7,118.449,-97.928,-49.465,-212.024,04,31150255.736
7,19.746,-98.848,-44.543,-210.431,05,31150255.753
7,136.793,-102.226,-43.055,-212.871,05,31150255.768
27,898.819,-185.766,88.081,-162.448,25,31150255.781
27,273.181,-172.200,89.247,-167.444,15,31150255.830
13,675.885,122.929,11.496,-274.957,42,3756551.935
34,418.108,-151.868,-115.924,-203.382,32,42136810.885
23,93.852,-25.813,152.309,-194.111,11,25420560.519
23,573.084,-20.723,172.089,-217.245,31,25420560.622
1,128.989,23.857,139.179,-291.545,53,25420560.945
0,34.244,52.038,8.459,-234.509,02,91866799.927
0,925.557,57.819,12.439,-254.779,22,91866799.999
0,15.512,56.187,12.099,-252.283,12,91866800.009
0,9.967,50.365,4.113,-245.795,12,91866800.048
0,186.720,49.992,3.992,-245.684,12,91866800.050
6,281.204,-82.158,12.241,-237.004,11,383746564.002
6,524.151,-94.863,11.521,-252.200,21,383746564.069
6,243.797,-91.012,7.833,-260.307,31,383746564.101
6,11.251,-92.498,8.154,-261.081,31,383746564.107
