global_time,crystal,edep,x,y,z,slice_sect,time
 11328264910.99953,21,723.315,8.697,222.836,-169.196,31,75728553.019
 11328264910.99953,21,394.779,12.896,222.471,-179.489,30,75728553.056
 11328264910.99953,21,15.660,11.740,226.466,-177.744,30,75728553.071
 11328264910.99953,21,199.246,29.392,256.833,-143.247,43,75728553.236
 11403993463.08506,29,382.410,-162.144,40.324,-179.203,00,76604674.471
 11597228288.03746,20,1060.063,122.132,138.181,-184.375,21,11904349.182
 11597228288.03746,20,1.028,109.685,134.062,-186.556,11,11904349.226
 11597228288.03746,20,109.306,94.343,126.725,-188.927,05,11904349.283
 11597228288.03746,20,2.248,94.536,126.496,-188.597,00,11904349.285
 11609132636.34833,26,702.935,-113.592,143.567,-252.466,54,21810088.084
 11609132636.34833,26,334.387,-114.041,143.195,-253.064,54,21810088.087
 11609132636.34833,26,83.129,-115.552,142.839,-251.913,54,21810088.093
 11609132636.34833,26,41.419,-122.665,135.294,-256.931,54,21810088.131
 11609132636.34833,26,171.131,-125.233,134.144,-254.877,54,21810088.143
 11924273587.70690,25,35.468,-135.001,170.003,-140.800,11,46244016.938
 11924273587.70690,24,175.756,-180.468,172.700,-192.385,55,46244017.206
 11924273587.70690,24,167.515,-181.409,175.286,-197.522,55,46244017.225
 11924273587.70690,24,59.573,-173.152,146.607,-198.484,42,46244017.325
 11924273587.70690,24,113.804,-173.214,146.646,-198.554,42,46244017.325
 11924273587.70690,16,486.291,163.923,19.272,-189.080,01,46244016.912
 11924273587.70690,16,47.163,163.885,18.658,-190.798,11,46244016.918
 11924273587.70690,16,220.286,163.810,9.258,-202.845,22,46244016.969
 11924273587.70690,16,187.377,177.252,-4.710,-206.853,22,46244017.035
 11924273587.70690,16,26.577,173.941,-3.512,-219.933,33,46244017.081
 11924273587.70690,16,29.596,187.019,-1.468,-242.711,43,46244017.168
 11924273587.70690,16,21.199,186.777,-2.380,-243.906,43,46244017.173
 11924273587.70690,16,4.488,194.076,-11.131,-249.955,53,46244017.217
 11924273587.70690,44,72.387,201.377,-28.713,-234.507,55,46244017.483
 12139515939.56474,32,869.674,-216.302,-49.720,-224.889,51,82527574.116
 12139515939.56474,31,223.450,-234.836,-47.798,-215.858,55,82527574.185
 12139515939.56474,31,89.017,-214.589,-48.096,-170.327,30,82527574.351
 12139515939.56474,31,150.860,-264.584,-46.559,-176.570,53,82527574.519
 12344680411.36473,13,187.198,85.806,-18.871,-259.573,31,20474406.664
 12852698206.93504,43,1021.825,162.560,-94.165,-147.373,04,144438920.223
 12852698206.93504,43,66.086,179.620,-83.852,-127.139,02,144438920.318
 12852698206.93504,43,23.353,182.776,-85.260,-125.968,02,144438920.330
 12852698206.93504,43,63.125,196.386,-105.629,-126.228,13,144438920.412
 12852698206.93504,43,158.610,196.317,-105.681,-126.437,13,144438920.413
 13089116021.12664,36,861.412,26.415,-204.098,-144.214,15,314923414.077
 13089116021.12664,39,145.186,82.289,-178.470,-156.618,15,314923414.287
 13089116021.12664,39,63.917,81.057,-181.934,-157.731,15,314923414.299
 13089116021.12664,39,101.485,81.335,-178.976,-155.942,15,314923414.311
 13404039434.36575,1,940.049,56.551,74.567,-236.110,10,109820425.041
 14057792910.09827,38,898.793,-9.721,-183.179,-170.482,10,522675129.674
 14057792910.09827,37,112.431,-23.441,-175.424,-165.851,05,522675129.729
 14057792910.09827,38,41.468,-19.851,-173.570,-180.584,11,522675129.780
 14057792910.09827,38,112.679,-19.070,-174.198,-180.267,11,522675129.784
 14630965262.05852,1,945.181,34.616,117.547,-210.700,03,9407280.421
 14630965262.05852,1,178.132,41.402,87.661,-227.388,01,9407280.537
 14630965262.05852,1,12.765,41.074,88.013,-220.708,01,9407280.559
 14630965262.05852,1,44.160,40.880,88.100,-220.391,01,9407280.561
 14630965262.05852,1,21.855,41.401,88.291,-219.691,01,9407280.564
 14630965262.05852,1,130.907,42.732,87.270,-219.449,00,9407280.569
 14772200029.06790,27,931.240,-196.381,67.321,-185.844,30,179092868.395
 14772200029.06790,27,46.176,-195.536,67.564,-180.784,20,179092868.412
 14772200029.06790,27,194.584,-186.160,65.053,-176.979,20,179092868.447
 14951292896.53354,20,318.970,133.429,163.328,-218.494,41,194137363.996
 14951292896.53354,20,542.659,140.206,164.388,-231.016,51,194137364.043
 15145430259.51506,36,711.023,45.427,-175.464,-160.256,02,102422087.351
 15145430259.51506,36,207.286,45.393,-175.152,-161.248,02,102422087.354
 15145430259.51506,36,16.804,49.803,-166.880,-161.072,02,102422087.400
 15145430259.51506,30,121.870,-153.847,-119.968,-157.384,12,102422088.097
 15352092071.86967,44,341.375,185.923,-65.558,-183.171,20,64947678.064
 15352092071.86967,44,225.667,194.902,-71.514,-236.687,51,64947678.246
 15352092071.86967,44,195.928,187.422,-67.455,-253.159,53,64947678.308
 15352092071.86967,14,81.923,131.285,-70.406,-264.822,41,64947678.499
 15352092071.86967,14,41.959,127.795,-74.045,-272.749,51,64947678.531
 15352092071.86967,14,91.011,114.935,-66.263,-295.483,50,64947678.621
 15352092071.86967,14,194.137,102.875,-74.063,-293.818,50,64947678.670
 15447570081.82952,29,499.121,-156.806,11.725,-191.470,12,14376343.761
 15447570081.82952,29,63.087,-156.749,11.607,-193.525,12,14376343.768
 15447570081.82952,29,38.342,-155.827,11.061,-196.278,12,14376343.777
 15447570081.82952,29,374.299,-155.354,11.087,-198.856,12,14376343.786
 15447570081.82952,29,70.621,-170.520,9.793,-206.029,22,14376343.843
