edep,crystal,slice_sect,num_of_int
84.709,129,1,1
352.858,129,21,1
280.956,129,22,3
161.477,129,12,2
33.253,129,22,1
85.878,129,12,1
1060.4379999999999,144,14,2
36.452,108,12,1
183.11,145,1,1
1481.117,42,2,2
198.883,11,12,2
80.0,163,0,1
210.007,89,15,1
269.992,43,22,4
737.343,65,22,3
142.65699999999998,65,23,3
74.748,65,22,2
85.381,65,23,1
775.1590000000001,5,23,2
504.84,5,22,1
195.055,5,23,1
80.0,53,4,2
1063.4,155,14,1
238.965,121,23,2
135.483,121,22,2
242.152,153,21,1
76.099,5,0,1
520.602,20,12,1
131.596,20,13,1
227.802,112,33,1
485.03,148,35,1
637.4649999999999,148,55,4
157.505,148,54,1
480.0,90,12,4
879.9999999999999,61,3,3
91.762,9,3,1
277.04200000000003,3,14,2
235.118,18,14,1
183.075,18,24,1
461.807,18,25,1
313.373,105,5,1
561.099,102,42,6
67.554,35,23,1
466.304,133,33,1
71.057,133,43,1
181.164,133,42,2
56.703,131,35,2
104.773,131,34,1
1280.0,29,15,3
80.0,99,0,1
271.594,71,0,1
208.406,121,4,1
307.118,117,4,3
482.72,117,15,1
90.163,117,5,1
149.565,117,4,2
820.172,126,30,2
324.985,126,40,1
37.229,126,30,1
134.843,126,31,1
773.358,106,3,1
764.553,104,25,4
142.089,106,33,1
80.0,148,3,1
743.037,21,5,2
136.963,21,15,1
407.658,108,54,3
1156.482,61,3,2
29.834,61,22,1
240.26,61,21,1
253.425,61,11,2
80.0,2,1,1
177.327,12,15,2
147.502,12,12,1
155.17000000000002,12,11,3
9.674,52,40,1
892.006,52,50,1
689.157,84,2,1
422.88,84,13,1
23.714,84,25,1
120.472,85,31,1
280.53999999999996,85,41,2
143.236,85,42,1
80.0,100,5,1
170.283,117,1,1
658.525,56,23,1
97.989,100,25,1
20.739,56,24,1
97.349,100,24,1
197.423,97,42,1
245.955,27,1,1
1130.291,27,21,1
303.754,27,20,2
80.0,101,4,1
480.0,138,13,1
115.799,18,34,1
1046.344,48,5,1
30.065,119,33,1
203.591,119,43,1
942.474,145,1,1
629.627,108,22,4
107.898,108,12,1
135.368,108,22,2
167.357,154,25,1
57.478,155,32,1
13.338,155,42,1
96.44999999999999,55,45,2
483.517,55,55,1
52.379,55,45,1
300.033,55,54,2
887.136,49,11,1
225.975,15,21,1
221.494,15,31,2
345.39599999999996,17,35,2
80.0,18,2,1
113.286,144,10,1
25.136,144,0,1
176.175,132,44,2
378.14700000000005,95,13,2
501.853,95,24,1
875.912,57,54,2
352.915,157,0,1
732.948,157,10,2
269.886,157,15,1
3.397,42,11,1
2.716,42,21,1
318.13599999999997,42,22,2
80.0,162,0,1
253.675,141,5,1
65.677,141,4,1
160.64700000000002,31,3,3
671.492,147,22,1
208.50799999999998,147,12,2
1280.0,162,30,4
491.18699999999995,22,51,2
80.0,55,0,1
480.0,26,25,1
370.195,128,31,1
80.0,59,42,1
228.667,66,21,1
40.27,68,25,1
50.816,115,4,1
160.247,96,0,3
523.682,160,3,1
212.048,162,2,2
50.515,162,12,1
113.46,162,2,1
1161.531,111,0,1
358.871,111,14,2
159.597,111,4,1
80.0,130,4,2
460.412,79,1,2
32.447,24,0,1
149.307,24,5,2
80.0,117,5,1
161.368,0,44,1
181.84300000000002,0,45,2
136.789,0,40,2
53.277,25,44,1
253.2,25,54,1
1080.923,130,12,1
399.067,159,31,1
58.307,161,25,3
136.022,157,24,1
480.0,156,21,1
359.567,78,11,1
920.433,78,45,1
683.83,53,22,1
480.0,33,2,3
154.391,15,20,1
613.7529999999999,17,55,3
